Nome: OLIVEIRA
Codigo Estacao: A570
Latitude: -20.715
Longitude: -44.86444444
Altitude: 1025
Situacao: Operante
Data Inicial: 2017-10-18
Data Final: 2023-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);
2021-02-16;1;
2021-02-17;0;
2021-02-18;45,4;
2021-02-19;4,2;
2021-02-20;80,8;
2021-02-21;6,2;
2021-02-22;11,8;
2021-02-23;9,2;
2021-02-24;,2;
2021-02-25;0;
2021-02-26;4;
2021-02-27;108;
2021-02-28;,8;
2021-03-01;0;
2021-03-02;0;
2021-03-03;0;
2021-03-04;0;
2021-03-05;0;
2021-03-06;19;
2021-03-07;15,2;
2021-03-08;20,6;
2021-03-09;,2;
2021-03-10;8,6;
2021-03-11;,2;
2021-03-12;0;
2021-03-13;0;
2021-03-14;0;
2021-03-15;0;
2021-03-16;0;
2021-03-17;0;
2021-03-18;0;
2021-03-19;0;
2021-03-20;0;
2021-03-21;0;
2021-03-22;0;
2021-03-23;0;
2021-03-24;0;
2021-03-25;0;
2021-03-26;0;
2021-03-27;25,2;
2021-03-28;,2;
2021-03-29;0;
2021-03-30;0;
2021-03-31;18,8;
2021-04-01;,2;
2021-04-02;0;
